SCI_NAME,TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS,HebName,AlienInvasive,Synanthrope,NativeInvasive,ConservationStatusWorld,ConservationCodeWorld,ConservationStatusIL2002,ConservationCodeIL2002,ConservationStatusIL2018,ConservationCodeIL2018,ConservationChange,PresenceIL,Resident,BreedingIL,MigrationType._resident,MigrationType._Long.range.migrant,MigrationType._short.range.semi.migrant,MigrationType._nomadic,ZoogeoZone._Mediterranean.,ZoogeoZone._Irano.Turanian,ZoogeoZone._Sudanese,ZoogeoZone._Alpine,ZoogeoZone._Saharo.Arabian.,LandscapeFormation_wet.Habitat,LandscapeFormation_wide.wadis,LandscapeFormation_rural.landscape,LandscapeFormation_Plains.and.Valleys,LandscapeFormation_Mountainous.area,LandscapeFormation_cliffs,LandscapeFormation_rocks.and.stony.ground,LandscapeFormation_Urban.space,LandscapeFormation_Sand.dunes,VegetationFormation_reedbed.and.sedges.,VegetationFormation_gardens.and.parks.,VegetationFormation_etsiya.park_forest,VegetationFormation_forest,VegetationFormation_Mediterranean.Maquis,VegetationFormation_low.shrubland.,VegetationFormation_herbaceous,VegetationFormation_high.shrubland,VegetationFormation_plantations,VegetationFormation_field.crops.,VegetationDensity._High,VegetationDensity._Medium,VegetationDensity._Low,nest_location_trees,nest_location_bushes,nest_location_cliffs,nest_location_ground,nest_location_ruins.,nest_location_dirt.cliffs,nest_location_reedbed.and.sedges,nest_location_buildings,DietType._Omnivore,DietType._Herbivore,DietType._Fish,DietType._Invertebrates,DietType._Terrestrial.vertebrates,DietType._Scavenger,ForagingGround_Land,ForagingGround_Trees.and.bushes,ForagingGround_Air,ForagingGround_Water,Mass..g.,HabitatCondensed,Reference
Regulus ignicapilla,26301,species,firecr1,Common Firecrest,Passeriformes,Regulidae (Kinglets),Kinglets,NA,מלכילון לבן-גבות,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ardenna carneipes,6979,species,flfshe,Flesh-footed Shearwater,Procellariiformes,Procellariidae (Shearwaters and Petrels),"Petrels, Shearwaters, and Diving-Petrels",NA,יסעור כהה-כנף,0,0,0,Near threatened,NT,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Leucophaeus pipixcan,6400,species,fragul,Franklin's Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers",NA,שחף אפור-זנב,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Mareca strepera,468,species,gadwal,Gadwall,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,NA,ברווז אפור,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Spatula querquedula,444,species,gargan,Garganey,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,NA,קרקיר,0,0,0,Least concern,LC,Least concern,LC,Not evaluated,NE,Not applicable,"passage migrant, summer visitor",0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,342,wet Habitat,
Sylvia borin,24722,species,garwar1,Garden Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA,סבכי אפור,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,passage migrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,0,0,16,,https://kotar.cet.ac.il/KotarApp/Viewer.aspx?nBookID=9984673#396.6671.6.default האנציקלופדיה של החי והצומח בארץ ישראל. מידע על התזונה נלקח מסבכי קוצים
Larus marinus,6499,species,gbbgul,Great Black-backed Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers",NA,שחף ימי,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ichthyaetus ichthyaetus,6410,species,gbhgul2,Pallas's Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers",NA,שחף עיטי,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,"passage migrant, winter visitor",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Larus hyperboreus,6490,species,glagul,Glaucous Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers",NA,שחף לבן-כנף,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Plegadis falcinellus,7479,species,gloibi,Glossy Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),"Herons, Ibis, and Allies",NA,מגלן חום,0,1,0,Least concern,LC,Least concern,LC,Least concern,LC,No change,resident,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,662,generalist,
Anas crecca,563,species,gnwtea,Green-winged Teal,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,NA,שרשיר,0,0,0,Least concern,LC,Not evaluated,NE,Not evaluated,NE,Not applicable,"passage migrant, winter visitor",0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,320,wet Habitat,
Regulus regulus,26282,species,goldcr1,Goldcrest,Passeriformes,Regulidae (Kinglets),Kinglets,NA,מלכילון האורנים,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,winter visitor,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aquila chrysaetos,7799,species,goleag,Golden Eagle,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA,עיט זהוב,0,0,0,Least concern,LC,Endangered,EN,Critically endangered,CR,Deteriorated,resident,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3900,generalist,
Ardea goliath,7315,species,golher1,Goliath Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)","Herons, Ibis, and Allies",NA,אנפת גולית,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Anser anser,259,species,gragoo,Graylag Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,NA,אווז אפור,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ardea cinerea,7299,species,graher1,Gray Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)","Herons, Ibis, and Allies",NA,אנפה אפורה,0,0,0,Least concern,LC,Regionly extinct as nesting,RE_AS_BREED,Regionally extinct,RE,No change,"passage migrant, winter visitor",0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1100,wet Habitat,
Prinia gracilis,22725,species,grapri1,Graceful Prinia,Passeriformes,Cisticolidae (Cisticolas and Allies),Cisticolas and Allies,NA,פשוש,0,1,0,Least concern,LC,Least concern,LC,Least concern,LC,No change,resident,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,generalist,
Podiceps cristatus,1830,species,grcgre1,Great Crested Grebe,Podicipediformes,Podicipedidae (Grebes),Grebes,NA,טבלן מצויץ,0,0,0,Least concern,LC,Regionally extinct,RE,Critically endangered,CR,Improved,"winter visitor, resident",1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,870,wet Habitat,
Thalasseus bergii,6655,species,grcter1,Great Crested Tern,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers",NA,שחפית צהובת-מקור,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Botaurus stellaris,7250,species,grebit1,Great Bittern,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)","Herons, Ibis, and Allies",NA,אנפה משורטטת,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,"passage migrant, winter visitor",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Otis tarda,2885,species,grebus1,Great Bustard,Otidiformes,Otididae (Bustards),Bustards,NA,חובה גדולה,0,0,0,Vulnerable,VU,Not evaluated,NE,Not evaluated,NE,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
